pedido;data;produto;categoria;quantidade;preco_unitario
P1000;2026-07-01;Teclado;Periféricos;1;189.90
P1001;2026-07-02;Mouse;Periféricos;2;79.90
P1002;2026-07-03;SSD;Componentes;3;229.90
P1003;2026-07-04;Monitor;Componentes;4;899.90
P1004;2026-07-05;Teclado;Periféricos;5;189.90
P1005;2026-07-06;Mouse;Periféricos;1;79.90
P1006;2026-07-07;SSD;Componentes;2;229.90
P1007;2026-07-08;Monitor;Componentes;3;899.90
P1008;2026-07-09;Teclado;Periféricos;4;189.90
P1009;2026-07-10;Mouse;Periféricos;5;79.90
P1010;2026-07-11;SSD;Componentes;1;229.90
P1011;2026-07-12;Monitor;Componentes;2;899.90
P1012;2026-07-13;Teclado;Periféricos;3;189.90
P1013;2026-07-14;Mouse;Periféricos;4;79.90
P1014;2026-07-15;SSD;Componentes;5;229.90
P1015;2026-07-16;Monitor;Componentes;1;899.90
P1016;2026-07-17;Teclado;Periféricos;2;189.90
P1017;2026-07-18;Mouse;Periféricos;3;79.90
P1018;2026-07-19;SSD;Componentes;4;229.90
P1019;2026-07-20;Monitor;Componentes;5;899.90
P1020;2026-07-21;Teclado;Periféricos;1;189.90
P1021;2026-07-22;Mouse;Periféricos;2;79.90
P1022;2026-07-23;SSD;Componentes;3;229.90
P1023;2026-07-24;Monitor;Componentes;4;899.90
P1024;2026-07-25;Teclado;Periféricos;5;189.90
P1025;2026-07-26;Mouse;Periféricos;1;79.90
P1026;2026-07-27;SSD;Componentes;2;229.90
P1027;2026-07-28;Monitor;Componentes;3;899.90
P1028;2026-07-29;Teclado;Periféricos;4;189.90
P1029;2026-07-30;Mouse;Periféricos;5;79.90
P1030;2026-07-31;SSD;Componentes;1;229.90
P1031;2026-08-01;Monitor;Componentes;2;899.90
P1032;2026-08-02;Teclado;Periféricos;3;189.90
P1033;2026-08-03;Mouse;Periféricos;4;79.90
P1034;2026-08-04;SSD;Componentes;5;229.90
P1035;2026-08-05;Monitor;Componentes;1;899.90
P1036;2026-08-06;Teclado;Periféricos;2;189.90
P1037;2026-08-07;Mouse;Periféricos;3;79.90
P1038;2026-08-08;SSD;Componentes;4;229.90
P1039;2026-08-09;Monitor;Componentes;5;899.90
P1040;2026-08-10;Teclado;Periféricos;1;189.90
P1041;2026-08-11;Mouse;Periféricos;2;79.90
P1042;2026-08-12;SSD;Componentes;3;229.90
P1043;2026-08-13;Monitor;Componentes;4;899.90
P1044;2026-08-14;Teclado;Periféricos;5;189.90
P1045;2026-08-15;Mouse;Periféricos;1;79.90
P1046;2026-08-16;SSD;Componentes;2;229.90
P1047;2026-08-17;Monitor;Componentes;3;899.90
P1048;2026-08-18;Teclado;Periféricos;4;189.90
P1049;2026-08-19;Mouse;Periféricos;5;79.90
P1050;2026-08-20;SSD;Componentes;1;229.90
P1051;2026-08-21;Monitor;Componentes;2;899.90
P1052;2026-08-22;Teclado;Periféricos;3;189.90
P1053;2026-08-23;Mouse;Periféricos;4;79.90
P1054;2026-08-24;SSD;Componentes;5;229.90
P1055;2026-08-25;Monitor;Componentes;1;899.90
P1056;2026-08-26;Teclado;Periféricos;2;189.90
P1057;2026-08-27;Mouse;Periféricos;3;79.90
P1058;2026-08-28;SSD;Componentes;4;229.90
P1059;2026-08-29;Monitor;Componentes;5;899.90
P1060;2026-08-30;Teclado;Periféricos;1;189.90
P1061;2026-08-31;Mouse;Periféricos;2;79.90
P1062;2026-09-01;SSD;Componentes;3;229.90
P1063;2026-09-02;Monitor;Componentes;4;899.90
P1064;2026-09-03;Teclado;Periféricos;5;189.90
P1065;2026-09-04;Mouse;Periféricos;1;79.90
P1066;2026-09-05;SSD;Componentes;2;229.90
P1067;2026-09-06;Monitor;Componentes;3;899.90
P1068;2026-09-07;Teclado;Periféricos;4;189.90
P1069;2026-09-08;Mouse;Periféricos;5;79.90
P1070;2026-09-09;SSD;Componentes;1;229.90
P1071;2026-09-10;Monitor;Componentes;2;899.90
P1072;2026-09-11;Teclado;Periféricos;3;189.90
P1073;2026-09-12;Mouse;Periféricos;4;79.90
P1074;2026-09-13;SSD;Componentes;5;229.90
P1075;2026-09-14;Monitor;Componentes;1;899.90
P1076;2026-09-15;Teclado;Periféricos;2;189.90
P1077;2026-09-16;Mouse;Periféricos;3;79.90
P1078;2026-09-17;SSD;Componentes;4;229.90
P1079;2026-09-18;Monitor;Componentes;5;899.90
P1080;2026-09-19;Teclado;Periféricos;1;189.90
P1081;2026-09-20;Mouse;Periféricos;2;79.90
P1082;2026-09-21;SSD;Componentes;3;229.90
P1083;2026-09-22;Monitor;Componentes;4;899.90
P1084;2026-09-23;Teclado;Periféricos;5;189.90
P1085;2026-09-24;Mouse;Periféricos;1;79.90
P1086;2026-09-25;SSD;Componentes;2;229.90
P1087;2026-09-26;Monitor;Componentes;3;899.90
P1088;2026-09-27;Teclado;Periféricos;4;189.90
P1089;2026-09-28;Mouse;Periféricos;5;79.90
P1000;2026-07-01;Teclado;Periféricos;1;189.90
P9999;;Mouse;Periféricos;2;79.90
